Instrument Serial Num,Reading #,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude,Sample ID,Project No.,Sample Type,Operator,Notes, Units,K Concentration,K Error1s,Ca Concentration,Ca Error1s,Ti Concentration,Ti Error1s,Cr Concentration,Cr Error1s,Mn Concentration,Mn Error1s,Fe Concentration,Fe Error1s,Ni Concentration,Ni Error1s,Cu Concentration,Cu Error1s,Zn Concentration,Zn Error1s,Rb Concentration,Rb Error1s,Sr Concentration,Sr Error1s,Zr Concentration,Zr Error1s,Ag Concentration,Ag Error1s,Cd Concentration,Cd Error1s,Pb Concentration,Pb Error1s,Real Time 1,Real Time 2,Real Time 3,
801662,104,Resin04,,104,No,,,B302-A,,In Situ,,,PPM,<LOD,14,405,3,6,1,<LOD,2,5,1,5,1,<LOD,4,<LOD,2,98,1,3385,17,<LOD,8,<LOD,12,<LOD,5,<LOD,7,13,1,20,20,20,
801662,105,Resin04,,105,No,,,B202-C,,In Situ,,,PPM,2060,21,988,11,4,1,10,1,12,1,6,1,<LOD,4,<LOD,2,144,2,345,6,30,4,<LOD,12,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,106,Resin04,,106,No,,,B302-C,,In Situ,,,PPM,2174,22,2200,17,7,1,7,1,11,1,16,1,<LOD,4,<LOD,2,139,2,339,6,119,7,<LOD,15,<LOD,5,<LOD,6,2,1,20,20,20,
801662,107,Resin04,,107,No,,,B502-C,,In Situ,,,PPM,<LOD,31,33294,124,10,1,8,1,12,1,5,1,<LOD,5,<LOD,2,7,1,<LOD,12,1138,25,<LOD,31,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,108,Resin04,,108,No,,,B502-A,,In Situ,,,PPM,<LOD,15,431,4,6,1,<LOD,2,4,1,<LOD,1,<LOD,4,<LOD,2,3,0,637,7,<LOD,9,<LOD,15,<LOD,5,<LOD,7,3,1,20,20,20,
801662,109,Resin04,,109,No,,,B605-A,,In Situ,,,PPM,<LOD,16,364,3,2,1,<LOD,3,3,1,<LOD,1,<LOD,4,<LOD,2,3,0,21,3,<LOD,8,<LOD,11,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,110,Resin04,,110,No,,,B605-C,,In Situ,,,PPM,<LOD,19,312,5,5,1,8,1,8,1,5,1,<LOD,4,<LOD,2,15,1,<LOD,10,<LOD,8,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,111,Resin04,,111,No,,,B702-C,,In Situ,,,PPM,447,12,9746,43,2,1,6,1,14,1,5,1,<LOD,4,<LOD,2,3,0,<LOD,11,601,17,<LOD,24,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,112,Resin04,,112,No,,,B702-A,,In Situ,,,PPM,<LOD,13,544,4,5,0,3,1,7,1,12,1,<LOD,3,3,1,24,1,263,5,<LOD,9,<LOD,10,<LOD,5,<LOD,6,1,0,20,20,20,
801662,113,Resin04,,113,No,,,B802-A,,In Situ,,,PPM,<LOD,14,422,3,8,1,10,1,7,1,14,1,<LOD,3,<LOD,2,29,1,162,4,<LOD,9,<LOD,12,<LOD,5,<LOD,7,2,0,20,20,20,
801662,114,Resin04,,114,No,,,B802-C,,In Situ,,,PPM,472,12,2314,17,6,1,7,1,10,1,7,1,<LOD,4,<LOD,2,22,1,<LOD,11,132,8,<LOD,15,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,115,Resin04,,115,No,,,B902-C,,In Situ,,,PPM,766,14,4903,27,6,1,7,1,155,2,19,1,<LOD,4,<LOD,2,6,1,<LOD,11,594,17,<LOD,24,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,116,Resin04,,116,No,,,B902-A,,In Situ,,,PPM,<LOD,15,392,4,8,1,5,1,11,1,18,1,<LOD,3,<LOD,2,13,1,181,4,11,3,<LOD,12,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,117,Resin04,,117,No,,,B1002-A,,In Situ,,,PPM,<LOD,18,412,4,11,1,<LOD,3,4,1,17,1,<LOD,4,<LOD,2,12,1,35,4,<LOD,9,<LOD,13,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,118,Resin04,,118,No,,,B1002-C,,In Situ,,,PPM,,,,,<LOD,20,<LOD,6,<LOD,5,19,1,<LOD,5,<LOD,2,122,2,28,4,158,8,<LOD,16,<LOD,5,<LOD,6,<LOD,2,20,19.9084,,
801662,119,Resin04,,119,No,,,B1102-C,,In Situ,,,PPM,418,12,1636,14,6,1,10,1,13,1,6,1,<LOD,4,<LOD,2,178,2,<LOD,11,100,7,<LOD,14,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,120,Resin04,,120,No,,,B1102-A,,In Situ,,,PPM,<LOD,17,391,3,12,1,<LOD,2,<LOD,2,14,1,<LOD,4,<LOD,2,10,1,40,4,<LOD,9,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,121,Resin04,,121,No,,,B1202-A,,In Situ,,,PPM,<LOD,18,326,3,3,1,<LOD,3,<LOD,2,<LOD,2,<LOD,4,<LOD,2,<LOD,1,17,4,<LOD,8,<LOD,11,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,122,Resin04,,122,No,,,B1202-C,,In Situ,,,PPM,<LOD,20,174,4,4,1,6,1,7,1,4,1,<LOD,4,<LOD,2,2,0,<LOD,10,<LOD,8,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,123,Resin04,,123,No,,,B1302-C,,In Situ,,,PPM,3079,26,965,11,6,1,6,1,9,1,30,1,<LOD,4,<LOD,2,8,1,119,5,116,7,<LOD,14,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,124,Resin04,,124,No,,,B1302-A,,In Situ,,,PPM,<LOD,19,387,3,4,1,<LOD,2,3,1,3,1,<LOD,4,<LOD,2,5,0,33,4,<LOD,8,<LOD,12,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,125,Resin04,,125,No,,,B1402-A,,In Situ,,,PPM,<LOD,16,373,3,6,1,<LOD,2,5,1,<LOD,2,<LOD,4,<LOD,2,35,1,3676,18,<LOD,9,<LOD,12,<LOD,5,<LOD,7,13,1,20,20,20,
801662,126,Resin04,,126,No,,,B1402-C,,In Situ,,,PPM,2340,22,1630,14,4,1,7,1,9,1,7,1,<LOD,4,<LOD,2,75,1,362,6,70,6,<LOD,13,<LOD,5,8,2,<LOD,2,20,20,20,
